time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-07-07T22:10:27.882Z,63.4346,-148.5718,15.5,0.8,ml,,,,0.22,ak,ak0208oxqbyc,2020-07-07T22:12:55.153Z,"19 km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-07T22:09:21.450Z,37.8953,-117.9473,22.2,0.8,ml,10,99.05,0.022,0.23,nn,nn00757959,2020-07-07T22:39:50.090Z,"27 km NNE of Dyer, Nevada",earthquake,,8.9,,,automatic,nn,nn
2020-07-07T22:07:02.158Z,36.35480499,-97.36590576,2.751950264,1.86,ml,41,36.02005005,0.1418535262,0.5706964887,ok,ok2020nhej,2020-07-07T22:09:16.914Z,"10 km NW of Perry, Oklahoma",earthquake,1.991124836,1.550109299,,25,automatic,ok,ok
2020-07-07T22:06:26.310Z,17.919,-66.9399,10,2.5,ml,,213,0.111,0.48,us,us7000ajre,2020-07-07T22:59:56.657Z,"6 km SSW of Guánica, Puerto Rico",earthquake,1.7,1.8,0.061,35,reviewed,us,us
2020-07-07T21:55:31.020Z,53.8578333,-166.7645,7.89,0.37,ml,6,100,0.04936,0.15,av,av62193511,2020-07-07T22:18:26.360Z,"15 km WSW of Dutch Harbor, Alaska",earthquake,0.47,1.05,0.24,6,reviewed,av,av
2020-07-07T21:52:42.020Z,38.1948,-117.9195,1.7,1.3,ml,10,120.25,0.027,0.22,nn,nn00757958,2020-07-07T22:11:30.360Z,"27 km SE of Mina, Nevada",earthquake,,14.3,,,automatic,nn,nn
2020-07-07T21:42:33.315Z,28.2986,139.711,430.21,4.4,mb,,76,2.499,0.84,us,us7000ajr0,2020-07-07T22:36:59.040Z,"Bonin Islands, Japan region",earthquake,10.5,7,0.062,74,reviewed,us,us
2020-07-07T21:41:13.016Z,63.2953,-151.7008,5.4,0.7,ml,,,,0.72,ak,ak0208oxbied,2020-07-07T21:44:09.035Z,"27 km S of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-07T21:38:20.130Z,38.8101654,-122.7383347,2.46,0.15,md,8,126,0.02692,0.01,nc,nc73423106,2020-07-07T21:46:04.626Z,"2km SW of Cobb, CA",earthquake,0.4,1.5,0.07,2,automatic,nc,nc
2020-07-07T21:31:32.760Z,37.9983,-118.0993,0.3,1.4,ml,11,206.35,0.055,0.08,nn,nn00757954,2020-07-07T21:53:10.184Z,"36 km N of Dyer, Nevada",earthquake,,9.8,,,automatic,nn,nn
2020-07-07T21:31:08.640Z,17.9187,-66.9462,10,2.6,ml,,215,0.106,0.36,us,us7000ajqh,2020-07-07T22:22:06.040Z,"7 km SW of Guánica, Puerto Rico",earthquake,1.7,1.9,0.061,35,reviewed,us,us
2020-07-07T21:15:51.780Z,38.8213348,-122.8346634,11.93,0.6,md,10,149,0.001802,0.1,nc,nc73423096,2020-07-07T21:24:02.491Z,"8km NW of The Geysers, CA",earthquake,1.68,8.37,,1,automatic,nc,nc
2020-07-07T21:12:00.242Z,38.0986,-118.5608,10.4,1.5,ml,19,79.34,0.159,0.1443,nn,nn00757952,2020-07-07T23:41:09.518Z,"31 km NNW of Benton, California",earthquake,,2.5,0.57,8,reviewed,nn,nn
2020-07-07T21:11:15.791Z,34.2651,25.14,10,4,mb,,111,1.041,0.89,us,us7000ajpx,2020-07-07T21:49:30.040Z,"82 km S of Pýrgos, Greece",earthquake,5.7,1.9,0.122,18,reviewed,us,us
2020-07-07T21:09:07.690Z,35.5088333,-118.3843333,6.68,1.9,ml,23,90,0.1701,0.12,ci,ci39283351,2020-07-07T21:13:21.071Z,"13km SE of Bodfish, CA",earthquake,0.22,0.85,0.22,28,automatic,ci,ci
2020-07-07T21:08:47.870Z,33.52,-116.7336667,3.72,0.56,ml,16,75,0.04538,0.08,ci,ci39283343,2020-07-07T23:10:52.264Z,"7km SW of Anza, CA",earthquake,0.15,0.41,0.158,11,reviewed,ci,ci
2020-07-07T21:08:06.630Z,33.5051667,-116.7806667,7.65,1.03,ml,39,33,0.07015,0.18,ci,ci39283335,2020-07-07T21:11:54.939Z,"10km NE of Aguanga, CA",earthquake,0.21,0.68,0.131,29,automatic,ci,ci
2020-07-07T21:06:30.570Z,-6.3193,142.8132,10,4.6,mb,,99,5.285,0.74,us,us7000ajr4,2020-07-07T22:13:53.040Z,"48 km SSW of Tari, Papua New Guinea",earthquake,14.9,1.9,0.141,15,reviewed,us,us
2020-07-07T20:56:06.890Z,33.9571667,-117.3456667,16.36,1.04,ml,21,67,0.02209,0.14,ci,ci39283303,2020-07-07T23:10:04.935Z,"5km ENE of Riverside, CA",earthquake,0.26,0.42,0.132,18,reviewed,ci,ci
2020-07-07T20:54:38.860Z,38.1912,-117.845,20,0.8,ml,13,96.3,0.019,0.1,nn,nn00757948,2020-07-07T21:14:10.139Z,"31 km SE of Mina, Nevada",earthquake,,3.4,,,automatic,nn,nn
2020-07-07T20:49:35.790Z,35.7268333,-117.5128333,9.34,0.8,ml,11,166,0.1123,0.13,ci,ci39283295,2020-07-07T20:53:21.015Z,"11km WSW of Searles Valley, CA",earthquake,0.48,1.16,0.126,6,automatic,ci,ci
2020-07-07T20:42:24.089Z,33.2571,73.5883,34.29,4.5,mb,,145,0.474,0.98,us,us7000ajnr,2020-07-07T22:57:04.479Z,"11 km ESE of Nazir Town, Pakistan",earthquake,7.9,6,0.088,41,reviewed,us,us
2020-07-07T20:40:51.985Z,65.2233,-148.7397,13.8,0.5,ml,,,,0.61,ak,ak0208owpy32,2020-07-07T20:43:46.322Z,"29 km ENE of Minto, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-07T20:38:19.093Z,60.2832,-152.0747,66.8,1.1,ml,,,,0.48,ak,ak0208owpg45,2020-07-07T20:41:05.274Z,"34 km NW of Ninilchik, Alaska",earthquake,,1,,,automatic,ak,ak
2020-07-07T20:32:26.650Z,5.4412,-82.716,10,5.2,mww,,133,3.01,1.05,us,us7000ajnd,2020-07-07T20:51:17.040Z,"287 km S of Punta de Burica, Panama",earthquake,7.7,1.9,0.098,10,reviewed,us,us
2020-07-07T20:28:56.640Z,38.8356667,-122.7828369,1.77,0.87,md,15,62,0.006471,0.02,nc,nc73423081,2020-07-07T20:43:04.248Z,"5km WNW of Cobb, CA",earthquake,0.28,0.38,0.1,3,automatic,nc,nc
2020-07-07T20:25:45.110Z,35.5816667,-117.4121667,4.96,1.32,ml,25,71,0.04107,0.15,ci,ci39283271,2020-07-07T22:23:33.236Z,"20km S of Trona, CA",earthquake,0.26,0.39,0.166,19,reviewed,ci,ci
2020-07-07T20:22:34.015Z,61.2303,-149.3127,31,1.1,ml,,,,0.3,ak,ak0208owm1t5,2020-07-07T20:28:52.272Z,"17 km SE of Eagle River, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-07-07T20:20:35.610Z,38.1653,-117.9745,10.5,1,ml,11,136.83,0.029,0.04,nn,nn00757945,2020-07-07T20:33:08.629Z,"27 km SSE of Mina, Nevada",earthquake,,6.5,,,automatic,nn,nn
2020-07-07T20:19:07.238Z,39.8574,143.2028,28.12,4.3,mb,,159,1.881,0.59,us,us7000ajn0,2020-07-07T22:31:57.040Z,"110 km ENE of Miyako, Japan",earthquake,9,6.2,0.105,29,reviewed,us,us
2020-07-07T20:18:01.690Z,38.1808,-117.9357,5,1.6,ml,8,83.49,0.043,0.01,nn,nn00757943,2020-07-07T20:22:30.040Z,"27 km SSE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-07-07T20:08:12.193Z,60.0447,-151.1103,40.7,1.5,ml,,,,0.62,ak,ak0208owj030,2020-07-07T20:11:27.940Z,"22 km NNW of Fox River, Alaska",earthquake,,1.6,,,automatic,ak,ak
2020-07-07T20:08:10.370Z,32.8556667,-116.2265,7.16,1.05,ml,22,88,0.118,0.33,ci,ci39283239,2020-07-07T20:11:38.806Z,"26km WNW of Ocotillo, CA",earthquake,0.57,1.47,0.238,12,automatic,ci,ci
2020-07-07T20:04:32.530Z,19.4788341522217,-155.836166381836,23.4899997711182,1.74000001,md,27,128,,0.25999999,hv,hv72034687,2020-07-07T20:08:05.680Z,"3 km NE of Honaunau-Napoopoo, Hawaii",earthquake,0.98,1.70000005,1.30999994,6,automatic,hv,hv
2020-07-07T20:04:05.840Z,44.3133333,-115.183,8.79,2.76,ml,11,83,0.934,0.22,mb,mb80447564,2020-07-07T22:58:17.920Z,"22 km WNW of Stanley, Idaho",earthquake,0.52,1.27,0.33,10,reviewed,mb,mb
2020-07-07T19:59:41.560Z,38.176,-117.9678,4.4,1.5,ml,11,90.88,0.028,0.13,nn,nn00757940,2020-07-07T20:18:51.929Z,"26 km SSE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-07T19:57:54.023Z,62.359,-149.1893,0,1.2,ml,,,,0.57,ak,ak0208ow85pc,2020-07-07T20:03:15.695Z,"40 km ENE of Y, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-07-07T19:53:04.110Z,38.1707,-117.8967,7,0.8,ml,11,195.8,0.049,0.02,nn,nn00757939,2020-07-07T20:00:28.720Z,"30 km SE of Mina, Nevada",earthquake,,2,,,automatic,nn,nn
2020-07-07T19:48:45.759Z,36.42033333,-96.92983333,3.32,0.63,ml,18,96,0.0188962919,0.09,ok,ok2020ngzt,2020-07-07T20:05:12.170Z,"14 km NW of Pawnee, Oklahoma",earthquake,,0.5,0.12,6,reviewed,ok,ok
2020-07-07T19:38:26.100Z,46.8003333333333,-120.401166666667,10.4,1.27,ml,17,59,0.158,0.3,uw,uw61655496,2020-07-07T21:35:51.920Z,"19 km NNE of Selah, Washington",earthquake,0.53,1.41,0.0748872684075652,13,reviewed,uw,uw
2020-07-07T19:29:56.570Z,35.8916667,-117.7025,8.97,0.59,ml,9,90,0.07028,0.06,ci,ci39283183,2020-07-07T19:33:38.459Z,"19km ESE of Little Lake, CA",earthquake,0.19,0.79,0.149,6,automatic,ci,ci
2020-07-07T19:28:00.550Z,33.4575005,-116.5678329,7.74,0.71,ml,14,84,0.04692,0.12,ci,ci39283175,2020-07-07T19:31:42.449Z,"15km SE of Anza, CA",earthquake,0.75,0.96,0.218,5,automatic,ci,ci
2020-07-07T19:23:19.608Z,61.0112,-151.5174,74,0.7,ml,,,,0.27,ak,ak0208ow0st4,2020-07-07T19:26:17.581Z,"21 km WSW of Tyonek, Alaska",earthquake,,4.3,,,automatic,ak,ak
2020-07-07T19:18:53.110Z,38.1857,-117.8908,8.9,0.7,ml,10,117.29,0.029,0.06,nn,nn00757933,2020-07-07T19:32:48.701Z,"29 km SE of Mina, Nevada",earthquake,,7.6,,,automatic,nn,nn
2020-07-07T19:15:48.570Z,38.1643,-117.9223,4.9,1.1,ml,10,129.02,0.031,0.16,nn,nn00757932,2020-07-07T19:20:29.838Z,"29 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-07-07T19:02:31.880Z,38.1922,-117.7282,9.7,1.3,ml,12,173.69,0.043,0.05,nn,nn00757930,2020-07-07T19:17:09.298Z,"39 km ESE of Mina, Nevada",earthquake,,4.1,,,automatic,nn,nn
2020-07-07T19:02:02.605Z,60.7691,-152.0775,75.9,0.8,ml,,,,0.24,ak,ak0208ovw9gk,2020-07-07T19:04:32.686Z,"43 km W of Nikiski, Alaska",earthquake,,1,,,automatic,ak,ak
2020-07-07T18:48:33.080Z,32.6976667,-115.798,6.41,1.27,ml,14,117,0.07728,0.17,ci,ci39283127,2020-07-07T18:59:04.070Z,"19km ESE of Ocotillo, CA",earthquake,0.57,1.97,0.18,12,automatic,ci,ci
2020-07-07T18:43:52.240Z,38.17,-117.8315,10,1,ml,12,105.14,0.024,0.07,nn,nn00757927,2020-07-07T18:58:09.074Z,"34 km SE of Mina, Nevada",earthquake,,0.9,,,automatic,nn,nn
2020-07-07T18:41:22.955Z,65.5969,-162.1805,5.7,3,ml,,,,0.92,ak,ak0208ovj8d0,2020-07-07T18:46:48.737Z,"58 km SSE of Deering, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-07T18:39:22.320Z,35.6958351,-117.5274963,9.52,1.67,ml,28,69,0.1325,0.14,ci,ci39283119,2020-07-07T18:49:55.030Z,"14km SW of Searles Valley, CA",earthquake,0.29,0.95,0.214,13,automatic,ci,ci
2020-07-07T18:35:26.970Z,38.1947,-117.7883,12.3,0.9,ml,8,125.65,0.073,0.04,nn,nn00757924,2020-07-07T18:39:47.326Z,"35 km SE of Mina, Nevada",earthquake,,7.5,,,automatic,nn,nn
2020-07-07T18:31:58.953Z,63.5533,-147.4014,10.2,1,ml,,,,0.2,ak,ak0208ovh5yn,2020-07-07T18:36:25.449Z,"77 km ESE of McKinley Park, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-07T18:27:23.620Z,36.284,-118.2896667,2.64,1.53,ml,18,149,0.2298,0.24,ci,ci39283103,2020-07-07T19:23:46.638Z,"26km W of Olancha, CA",earthquake,0.42,2.25,0.156,14,reviewed,ci,ci
2020-07-07T18:18:54.470Z,35.87,-117.6711667,6.55,1.2,ml,16,92,0.07955,0.09,ci,ci39283087,2020-07-07T18:22:42.567Z,"22km ESE of Little Lake, CA",earthquake,0.2,0.54,0.148,16,automatic,ci,ci
2020-07-07T18:16:21.400Z,36.2808333,-118.286,4.81,1.94,ml,27,116,0.2298,0.2,ci,ci39283071,2020-07-07T19:02:50.770Z,"25km W of Olancha, CA",earthquake,0.29,31.61,0.18,29,reviewed,ci,ci
2020-07-07T18:11:02.020Z,39.4066667,-110.303,-1.9,1.03,md,5,200,0.02442,0.11,uu,uu60400822,2020-07-07T23:11:19.120Z,"17 km SSE of Sunnyside, Utah",earthquake,0.64,0.75,0.45,5,reviewed,uu,uu
2020-07-07T18:10:30.190Z,36.9641685,-121.5603333,4.88,1.15,md,5,149,0.01952,0.02,nc,nc73423066,2020-07-07T20:19:02.083Z,"5km S of Gilroy, CA",earthquake,0.58,0.78,0.15,7,automatic,nc,nc
2020-07-07T18:03:00.110Z,33.4995,-116.7931667,8.35,0.47,ml,16,75,0.08061,0.25,ci,ci39283047,2020-07-07T18:06:44.151Z,"9km NE of Aguanga, CA",earthquake,0.62,1.47,0.092,11,automatic,ci,ci
2020-07-07T17:58:42.440Z,35.8136667,-117.6328333,8.69,1.29,ml,18,63,0.02878,0.15,ci,ci39283039,2020-07-07T18:02:21.643Z,"21km WNW of Searles Valley, CA",earthquake,0.32,0.61,0.16,17,automatic,ci,ci
2020-07-07T17:57:34.990Z,38.7873344,-122.7639999,2.28,0.56,md,10,106,0.01665,0.01,nc,nc73423056,2020-07-07T18:17:04.286Z,"1km NNW of The Geysers, CA",earthquake,0.39,1.02,,1,automatic,nc,nc
2020-07-07T17:52:39.180Z,37.557,-118.8643333,7.13,0.6,md,8,291,0.06189,0.03,nc,nc73423051,2020-07-07T18:26:02.347Z,"13km SE of Mammoth Lakes, CA",earthquake,1.11,0.72,0.218,6,reviewed,nc,nc
2020-07-07T17:52:30.320Z,38.8201675,-122.8420029,1.89,0.37,md,13,61,0.006192,0.05,nc,nc73423046,2020-07-07T19:11:02.636Z,"9km WNW of The Geysers, CA",earthquake,0.28,0.64,0.24,2,automatic,nc,nc
2020-07-07T17:49:17.610Z,53.8621667,-166.7571667,8.24,-0.02,ml,6,105,0.0472,0.18,av,av62193406,2020-07-07T19:57:44.760Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.54,1.06,0.289,6,reviewed,av,av
2020-07-07T17:48:31.960Z,44.4488333,-115.2108333,11.53,2.75,ml,11,80,0.373,0.26,mb,mb80447394,2020-07-07T18:16:34.720Z,"33 km NW of Stanley, Idaho",earthquake,0.58,1.26,0.137,9,reviewed,mb,mb
2020-07-07T17:38:31.660Z,35.8423333,-117.6281667,5.97,0.77,ml,6,124,0.0364,0.07,ci,ci39283023,2020-07-07T23:50:42.298Z,"22km WNW of Searles Valley, CA",earthquake,0.33,0.73,0.006,3,reviewed,ci,ci
2020-07-07T17:36:57.270Z,38.1557,-117.9757,7.3,1.4,ml,16,123.54,0.018,0.12,nn,nn00757912,2020-07-07T17:43:51.794Z,"28 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-07-07T17:35:04.720Z,33.583,-116.802,7.71,0.67,ml,22,68,0.03338,0.13,ci,ci39283007,2020-07-07T18:56:28.752Z,"12km WNW of Anza, CA",earthquake,0.24,0.47,0.154,8,reviewed,ci,ci
2020-07-07T17:32:11.884Z,59.9453,-153.2733,119.2,1.6,ml,,,,0.18,ak,ak0208ouvv50,2020-07-07T17:36:16.864Z,"49 km ENE of Pedro Bay, Alaska",earthquake,,2.4,,,automatic,ak,ak
2020-07-07T17:21:34.610Z,36.4308333,-117.9648333,5.92,1.43,ml,3,142,0.09344,0.12,ci,ci39282999,2020-07-07T23:48:20.525Z,"17km NNE of Olancha, CA",earthquake,0.52,31.61,0.352,2,reviewed,ci,ci
2020-07-07T17:19:58.010Z,38.1297,-118.0092,1.9,0.8,ml,13,145.31,0.036,0.18,nn,nn00757910,2020-07-07T17:29:06.055Z,"30 km SSE of Mina, Nevada",earthquake,,16.8,,,automatic,nn,nn
2020-07-07T17:13:57.871Z,69.5673,-144.0015,0,1.6,ml,,,,0.88,ak,ak0208ourvei,2020-07-07T17:20:03.143Z,"64 km SSW of Kaktovik, Alaska",earthquake,,3,,,automatic,ak,ak
2020-07-07T17:12:44.350Z,34.2293333,-116.7616667,11.96,1.1,ml,23,66,0.1303,0.25,ci,ci39282983,2020-07-07T17:16:20.902Z,"8km ESE of Big Bear City, CA",earthquake,0.47,1.63,0.205,25,automatic,ci,ci
2020-07-07T16:57:50.240Z,33.4808333,-116.7805,6.04,0.43,ml,16,125,0.09174,0.25,ci,ci39282967,2020-07-07T17:01:20.123Z,"9km ENE of Aguanga, CA",earthquake,0.53,2.06,0.133,8,automatic,ci,ci
2020-07-07T16:55:32.225Z,-4.0641,-103.1783,10,4.7,mb,,160,22.896,0.61,us,us7000ajiy,2020-07-07T18:09:16.040Z,"central East Pacific Rise",earthquake,11.9,1.8,0.044,152,reviewed,us,us
2020-07-07T16:52:29.020Z,53.8606667,-166.7665,7.65,-0.07,ml,6,104,0.05238,0.15,av,av62193396,2020-07-07T19:46:07.790Z,"15 km WSW of Dutch Harbor, Alaska",earthquake,0.48,1.01,0.209,6,reviewed,av,av
2020-07-07T16:50:48.360Z,36.0130005,-120.5763321,1.15,1.1,md,12,126,0.0324,0.08,nc,nc73423036,2020-07-07T17:48:03.097Z,"18km NW of Parkfield, CA",earthquake,0.36,1.02,0.16,4,automatic,nc,nc
2020-07-07T16:47:50.740Z,38.1825,-117.9138,6,1.1,ml,13,117.02,0.034,0.04,nn,nn00757908,2020-07-07T17:28:58.901Z,"28 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-07-07T16:40:18.601Z,64.4876,-152.8699,0,1.2,ml,,,,1.21,ak,ak0208ouc538,2020-07-07T16:43:24.638Z,"72 km NNW of Lake Minchumina, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-07-07T16:37:01.941Z,59.7065,-152.7102,86.4,1.3,ml,,,,0.48,ak,ak0208oubgnl,2020-07-07T16:45:05.463Z,"50 km W of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-07-07T16:30:22.690Z,53.8615,-166.7565,7.2,0.48,ml,5,104,0.04714,0.09,av,av62193391,2020-07-07T19:41:34.150Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.33,0.68,0.184,6,reviewed,av,av
2020-07-07T16:26:26.870Z,19.4060001373291,-155.261672973633,-0.129999995231628,2.03999996,md,17,52,,0.170000002,hv,hv72034487,2020-07-07T16:29:28.740Z,"5 km SW of Volcano, Hawaii",earthquake,0.17,0.270000011,1.01999998,12,automatic,hv,hv
2020-07-07T16:25:36.740Z,38.833168,-122.7963333,1.96,0.91,md,20,51,0.007019,0.04,nc,nc73423031,2020-07-07T17:21:03.913Z,"6km W of Cobb, CA",earthquake,0.23,0.48,0.1,4,automatic,nc,nc
2020-07-07T16:22:14.378Z,64.4595,-147.9784,11,0.6,ml,,,,0.49,ak,ak0208ou89vh,2020-07-07T16:24:57.836Z,"40 km SSW of South Van Horn, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-07T16:21:34.430Z,53.8595,-166.7575,6.7,0.34,ml,5,102,0.04861,0.07,av,av62193386,2020-07-07T19:14:49.020Z,"14 km WSW of Dutch Harbor, Alaska",earthquake,0.34,0.76,0.18,6,reviewed,av,av
2020-07-07T16:18:42.980Z,38.1293,-117.927,8,0.4,ml,8,133.12,0.024,0.04,nn,nn00757905,2020-07-07T17:22:51.114Z,"33 km SSE of Mina, Nevada",earthquake,,1.8,,,automatic,nn,nn
2020-07-07T16:12:34.715Z,38.1786,-117.9161,4.1,1.5,ml,17,79.23,0.039,0.142,nn,nn00757902,2020-07-07T16:20:45.389Z,"28 km SE of Mina, Nevada",earthquake,,0.5,0.4,10,reviewed,nn,nn
2020-07-07T16:06:56.780Z,36.0473333,-117.8408333,1.66,0.86,ml,10,69,0.05635,0.14,ci,ci39282951,2020-07-07T16:10:32.652Z,"10km E of Coso Junction, CA",earthquake,0.27,0.38,0.169,10,automatic,ci,ci
2020-07-07T16:03:40.013Z,63.033,-151.3464,0,1.3,ml,,,,0.84,ak,ak0208ou498z,2020-07-07T16:08:20.461Z,"59 km SSE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-07-07T16:03:21.520Z,36.4451667,-117.9866667,5.87,1.37,ml,11,147,0.07557,0.18,ci,ci39282943,2020-07-07T23:45:48.383Z,"17km SSE of Lone Pine, CA",earthquake,0.66,1.29,0.201,10,reviewed,ci,ci
2020-07-07T16:01:24.269Z,36.13833333,-97.28016667,8.58,1.98,ml,98,25,0,0.23,ok,ok2020ngsh,2020-07-07T16:22:17.094Z,"8 km E of Orlando, Oklahoma",earthquake,,1.9,0.25,40,reviewed,ok,ok
